NUMEROORDEN,IDCERCO,IDFISCAL,EVENTO,TIEMPO,MODOFISCALIZACION,PROCESOS,EJECUCION,ADMINISTRACION,SEGURIDAD,ENTREGA,FLAG_AUDITAR
1-143374437364,166,10278,TROUBLE CALL,33.137731,EN VIVO,1,1,1,1,0.833333333,0
1-143899171266,161,3350,TROUBLE CALL,44.195388,POSTERIOR,1,1,,,1,0
1-144561874857,151,1575,CAMBIO TOTAL DE ACOMETIDA,0.005422,POSTERIOR,1,1,,,1,0
1-144464152368,113,28102,TROUBLE CALL,19.509502,POSTERIOR,1,1,,,1,0
1-144619777427,108,14406,FISCALIZACIÓN ESPECIAL,0.000343,EN VIVO,,,,,,1
1-142795098616,166,10278,INSTALACIÓN,13.349903,POSTERIOR,1,1,,,1,0
1-144564295900,154,717,CAMBIO TOTAL DE ACOMETIDA,0.013727,POSTERIOR,1,0.666666667,,,1,0
1-144131273272,161,10287,CAMBIO TOTAL DE ACOMETIDA,0.004058,POSTERIOR,1,1,,,1,0
1-142761382431,118,14372,TROUBLE CALL,45.080358,POSTERIOR,1,0,,,1,0
1-143482450611,161,10287,CAMBIO TOTAL DE ACOMETIDA,0.000447,POSTERIOR,1,0.666666667,,,1,0
1-144629094232,118,14372,CAMBIO TOTAL DE ACOMETIDA,0.000297,POSTERIOR,1,1,,,1,0
1-144644781371,113,14409,CAMBIO TOTAL DE ACOMETIDA,0.000228,POSTERIOR,1,1,,,1,0
1-144544180058,166,14216,FISCALIZACIÓN ESPECIAL,0.017215,EN VIVO,,,,,,1
1-144600406391,403,21262,TROUBLE CALL,42.989312,EN VIVO,1,1,1,1,1,0
1-144638296556,305,14228,FISCALIZACIÓN ESPECIAL,0.005101,EN VIVO,,,,,,1
1-144549710191,148,1606,TROUBLE CALL,3.30662,EN VIVO,1,0.8,0.666666667,0,1,0
1-144595715816,157,11964,CAMBIO TOTAL DE ACOMETIDA,0.006439,POSTERIOR,1,1,,,1,0
1-144421273702,166,14216,TROUBLE CALL,15.498068,POSTERIOR,1,1,,,1,0
1-144645483289,113,28102,TROUBLE CALL,14.553091,POSTERIOR,1,0.666666667,,,1,0
1-143648107837,151,1575,CAMBIO TOTAL DE ACOMETIDA,0.000229,POSTERIOR,1,1,,,1,0
1-144072067152,151,1575,CAMBIO TOTAL DE ACOMETIDA,0.000196,POSTERIOR,1,1,,,1,0
1-143848504880,347,1786,INSTALACIÓN,53.222813,POSTERIOR,1,0.666666667,,,1,0
1-144415602772,113,14409,INSTALACIÓN,37.978626,POSTERIOR,1,1,,,1,0
1-144602337009,388,14776,TROUBLE CALL,25.945845,POSTERIOR,1,1,,,1,0
1-144556553593,157,11964,TROUBLE CALL,56.543593,POSTERIOR,1,1,,,1,0
1-144575592753,118,14372,TROUBLE CALL,24.205044,POSTERIOR,1,1,,,1,0
1-144579557215,143,696,TROUBLE CALL,27.948882,POSTERIOR,1,1,,,1,0
1-143563944922,398,15954,INSTALACIÓN,23.501281,POSTERIOR,1,1,,,1,0
1-144638249858,388,663,CAMBIO TOTAL DE ACOMETIDA,0.00016,EN VIVO,1,1,1,1,1,1
1-143950022428,201,703,TROUBLE CALL,50.96943,POSTERIOR,0,1,,,1,0
1-144526352734,195,22161,FISCALIZACIÓN ESPECIAL,0.000506,POSTERIOR,,,,,,0
1-143418876301,347,3561,INSTALACIÓN,19.631317,POSTERIOR,0,0.5,,,0,0
1-143952270678,118,14372,TROUBLE CALL,47.90187,POSTERIOR,1,0.333333333,,,1,0
1-141933973324,347,3561,INSTALACIÓN,39.53338,POSTERIOR,1,1,,,1,0
